,bin
994,97
993,94
983,76
984,62
974,50
964,42
973,40
864,34
975,29
874,25
006,20
884,18
008,17
873,15
965,15
005,15
995,15
963,14
883,14
986,13
863,13
954,12
644,12
845,11
985,10
007,10
865,10
944,9
955,9
958,9
894,8
004,8
953,8
844,7
996,7
106,7
835,7
116,7
855,7
895,7
978,6
734,6
875,6
924,6
854,6
115,6
775,6
744,6
015,6
416,6
834,6
968,6
204,5
773,5
017,5
969,5
774,5
979,5
334,5
635,5
000,5
935,5
934,5
967,4
444,4
648,4
108,4
776,4
105,4
625,4
945,4
117,4
765,4
785,4
987,4
943,4
016,4
429,4
107,4
833,4
655,4
736,3
335,3
764,3
535,3
318,3
009,3
876,3
824,3
545,3
633,3
316,3
544,3
725,3
515,3
853,3
866,3
047,3
977,3
784,3
948,3
766,3
856,3
654,3
019,3
109,2
304,2
745,2
756,2
823,2
505,2
946,2
025,2
226,2
925,2
794,2
424,2
675,2
539,2
726,2
155,2
423,2
893,2
325,2
998,2
936,2
028,2
128,2
674,2
543,2
976,2
715,2
656,2
645,2
643,2
206,2
445,2
649,2
859,2
018,2
858,2
523,2
124,1
753,1
224,1
329,1
223,1
119,1
035,1
125,1
027,1
217,1
737,1
828,1
467,1
825,1
435,1
048,1
763,1
676,1
739,1
556,1
575,1
628,1
433,1
037,1
209,1
427,1
997,1
603,1
754,1
678,1
525,1
914,1
506,1
417,1
634,1
555,1
913,1
216,1
638,1
215,1
214,1
616,1
404,1
123,1
464,1
716,1
849,1
225,1
553,1
205,1
746,1
729,1
135,1
933,1
574,1
885,1
848,1
747,1
843,1
949,1
838,1
218,1
605,1
305,1
534,1
208,1
533,1
755,1
306,1
867,1
418,1
526,1
937,1
606,1
777,1
235,1
623,1
928,1
653,1
234,1
879,1
646,1
