num,RMSE,DTM_KL1,DTM_KL01,DTM_KL001,Sammon,Trustworthiness,Continuity,Spearman,Steadiness,Cohesiveness,method
0,5775.56591796875,0.0024911677464842796,0.029975153505802155,0.07955091446638107,0.9347435204903953,0.9889068748809751,0.9830965530375166,0.7773065531522575,0.9168792341862486,0.5731685690911379,umap
1,5795.02392578125,0.0007565564010292292,0.010425947606563568,0.06069264933466911,0.9506075239927987,0.9941001713959245,0.997484288706913,0.8140037511511296,0.9469092945106171,0.914228112249359,umap
2,5799.69775390625,0.0009305825806222856,0.014737039804458618,0.07710947096347809,0.9514686991312209,0.9957855646543515,0.9980003808798324,0.846424944539937,0.9423551692680571,0.925194043645791,umap
3,5806.166015625,0.0009083122713491321,0.014067607000470161,0.0731251910328865,0.9548064631181981,0.9956236907255761,0.9977109122071987,0.8315180048496619,0.9542176795700923,0.928568354621528,umap
4,5816.701171875,0.0008856825879774988,0.011896118521690369,0.0634755939245224,0.9583589955809843,0.995235193296515,0.9971681584460103,0.8434036513440768,0.9563534355928777,0.833604550178213,umap
5,5827.224609375,0.0008616808336228132,0.010555800050497055,0.06688328087329865,0.9616555327165607,0.9941896781565416,0.9972995619881927,0.814531454133956,0.9601264756765815,0.9213418358456804,umap
6,5799.4853515625,0.0007462202338501811,0.009560886770486832,0.06707680970430374,0.9511890028803351,0.9948733574557227,0.9976690154256332,0.8561133950816691,0.9506970059158004,0.9161702656938924,umap
7,5768.58740234375,0.0033137276768684387,0.04319148510694504,0.08442682027816772,0.9320864673008117,0.9948981146448296,0.984823843077509,0.8765821463026046,0.955676920640679,0.8372338651512371,umap
8,5826.19775390625,0.001804080791771412,0.023980189114809036,0.08341799676418304,0.9595200997004169,0.9957893734526757,0.9979470577032946,0.8530724444936322,0.9521024769920121,0.902860324084865,umap
9,5800.04638671875,0.000840791326481849,0.031159892678260803,0.0918196514248848,0.9482086332102911,0.9929727670919825,0.9851209293467911,0.826615066840411,0.9418098502224267,0.7955010648419721,umap
10,5803.53076171875,0.0022310344502329826,0.014895588159561157,0.009609604254364967,0.9531923029811054,0.9971910112359551,0.99769377261474,0.8075199261847291,0.9584271553423779,0.9294339325462969,densmap
11,5797.142578125,0.000411428976804018,0.003000873140990734,0.004229921847581863,0.9539258802186757,0.9978213673585984,0.9983793563130833,0.827882098976278,0.9508316752842123,0.925647462735552,densmap
12,5795.80224609375,0.0007539349608123302,0.0045416392385959625,0.004733758047223091,0.9532261229144348,0.9974652447152923,0.9977966101694915,0.824731091876633,0.9521898808346972,0.9455588484699285,densmap
13,5801.54150390625,0.000724252313375473,0.010151799768209457,0.006309518590569496,0.9545093128745974,0.9979089697200533,0.9981432108169872,0.8606949246438128,0.9444183058867704,0.886632165601334,densmap
14,5802.99658203125,0.0005890578031539917,0.007576493546366692,0.008220721036195755,0.9572362630825176,0.9963816415920776,0.9969643877356694,0.8466037652617052,0.9598325721144805,0.8358794300676606,densmap
15,5775.16162109375,0.0013129942817613482,0.015010662376880646,0.017018288373947144,0.94143975934433,0.9945000952199581,0.9875376118834508,0.7636343372968651,0.9387312672033671,0.9133485103938614,densmap
16,5792.39892578125,0.0009307903237640858,0.006068548187613487,0.004972618073225021,0.9517585877237179,0.9978366025518949,0.9984136354980003,0.8432890521540753,0.9453748078616873,0.931783333449772,densmap
17,5773.5556640625,0.0013639014214277267,0.022611353546380997,0.02548179402947426,0.9387667042186956,0.990649400114264,0.9846924395353266,0.7788718577827618,0.9056787874808936,0.893773590021425,densmap
18,5787.19482421875,0.0009110890096053481,0.0061989338137209415,0.013101819902658463,0.9471986906860027,0.9959836221672063,0.9895505617977528,0.828185591049581,0.9595044890593856,0.9173743114161467,densmap
19,5820.54638671875,0.0007864683866500854,0.00626056082546711,0.007295403629541397,0.9604808386302854,0.9976461626356884,0.9979432489049704,0.8137961504543895,0.9478993687045242,0.9246494598513038,densmap
20,5923.76220703125,0.002658494748175144,0.07462745904922485,0.3046954274177551,0.9956370681791971,0.5350409445819844,0.5329994286802514,0.02090281389472247,0.23571901420569263,0.30209482347090466,pca
21,5783.5693359375,0.003134466242045164,0.08319602906703949,0.26946714520454407,0.9222667388277229,0.5266101694915255,0.5665282803275566,0.22129294744601943,0.2371138421454294,0.3033384353888472,pca
22,5791.81396484375,0.0031129829585552216,0.08171748369932175,0.2472105622291565,0.9264563628213784,0.5217710912207199,0.5638278423157495,0.21494941882603963,0.23449179283363497,0.2667493946183467,pca
23,5920.09765625,0.003088178113102913,0.08587271720170975,0.3085671067237854,0.993544506206255,0.5440030470386593,0.5451418777375738,0.014062161120332596,0.24805818840390792,0.28397335826183945,pca
24,5923.76220703125,0.002658494748175144,0.07462745904922485,0.3046954274177551,0.9956370681791971,0.5350409445819844,0.5329994286802514,0.02090281389472247,0.23229290999619034,0.30517693169908544,pca
25,5868.87060546875,0.0005929686594754457,0.010815341025590897,0.0747995525598526,0.9774870660179609,0.998192725195201,0.9985374214435345,0.8314116491004887,0.9415705244415528,0.9477962777031027,tsne
26,5656.50341796875,0.0007267689798027277,0.012993521988391876,0.07377326488494873,0.9029280477061477,0.9977470957912778,0.9985374214435345,0.9182888748476759,0.9673680486118881,0.9115126360084008,tsne
27,5803.1279296875,0.0007289493805728853,0.013380894437432289,0.08130413293838501,0.9539827133559333,0.9982365263759284,0.9987373833555513,0.8986641984604952,0.9430596630604183,0.9343929260115497,tsne
28,5667.44921875,0.0007420220645144582,0.013404447585344315,0.07539379596710205,0.9066295789899278,0.997811845362788,0.9985640830318034,0.9205788741378251,0.967623508393965,0.9146695650741813,tsne
29,5877.86962890625,0.0005495117511600256,0.009901173412799835,0.07168321311473846,0.9807421229333602,0.9978346981527328,0.9979622928965911,0.7648369543177953,0.9617802768463094,0.9311573269360424,tsne
30,5532.73779296875,0.0006358016980811954,0.01800711452960968,0.08283324539661407,0.8502172526591507,0.995711293087031,0.9962292896591125,0.9014823140799995,0.9644054220257997,0.8648631803058358,tsne
31,5842.03125,0.0006841763388365507,0.01271071657538414,0.08186262100934982,0.9678204204628074,0.998316511140735,0.9987145305656066,0.8605371762236613,0.9439260603486139,0.9408946204175314,tsne
32,5891.876953125,0.00045942526776343584,0.007931208238005638,0.06885205954313278,0.9858096918378104,0.9963835459912398,0.9959836221672063,0.7210055069138868,0.9319250081302164,0.8784264339079317,tsne
33,5724.07861328125,0.0007620349060744047,0.013818321749567986,0.07844190299510956,0.9261505307628213,0.9979356313083222,0.9985717006284517,0.8994175533497251,0.9503740264406089,0.923128484922278,tsne
34,5832.67919921875,0.0006992809358052909,0.012968134135007858,0.08218693733215332,0.9644794088632659,0.9982765187583318,0.9987126261664445,0.8746068218055352,0.9355523932485201,0.9394678912539487,tsne
35,47.41627883911133,1.547959982417524e-08,6.173017027322203e-06,0.0003573351423256099,0.0006320330067031088,0.9996095981717769,0.9994934298228909,0.9366037493159858,0.9524022092852737,0.9645558034169447,isomap
36,11.223939895629883,1.0194526112172753e-08,1.8529772205511108e-07,6.124595529399812e-06,7.008412632793717e-05,0.9998781184536278,0.9999085888402209,0.9895004390604397,0.9636340999470349,0.9810140428762801,isomap
37,45.55815505981445,5.981291906209663e-08,5.806679837405682e-06,0.00033365708077326417,0.000613865527153537,0.9995981717768044,0.9995086650161874,0.9382542674479386,0.9441664657402223,0.960832805772265,isomap
38,45.132503509521484,4.527828423306346e-08,5.439433152787387e-06,0.0003094100975431502,0.0005806216318117033,0.9996267377642354,0.9995181870119977,0.9396659846725016,0.9533351184570321,0.964067195108369,isomap
39,12.926994323730469,1.1890278983628377e-08,1.3284807209856808e-07,8.13512087916024e-06,9.051128182773476e-05,0.9998628832603313,0.9998857360502761,0.986566744701641,0.9618844814040155,0.9783971478057674,isomap
40,12.47391414642334,-4.815092324861325e-08,1.0039366316050291e-07,7.595226634293795e-06,8.497817257338886e-05,0.9998705008569796,0.9998952580460865,0.9877131577039431,0.9642188204419425,0.9784745943753655,isomap
41,49.96174240112305,-3.4415279515087605e-09,6.408015906345099e-06,0.0003522915067151189,0.0006775854737899887,0.9995924585793182,0.9994877166254047,0.9317289778012415,0.9581919665305786,0.9559520542084191,isomap
42,53.794189453125,4.942194209434092e-08,6.444410246331245e-06,0.0003266815620008856,0.0006231456970236785,0.9995657969910493,0.9995105694153494,0.935927912178865,0.9573042968349345,0.9562583444437917,isomap
43,50.157222747802734,5.2657924243249e-08,6.293317710515112e-06,0.0003461891901679337,0.0006664407057562881,0.9996172157684251,0.9994991430203771,0.9320699813734168,0.9590763162507502,0.9513123895965637,isomap
44,5111.06591796875,0.003915159031748772,0.12179364264011383,0.4499550461769104,0.6585173517080298,0.8127156732051037,0.8433803085126643,0.6597619753592755,0.5384944109258056,0.5117052955168336,isomap
45,5929.9130859375,0.001629815436899662,0.050805117934942245,0.18375341594219208,0.9992539820285143,0.9062559512473815,0.8140258998286041,0.27618249841872783,0.5229404802067972,0.5471723802230806,lle
46,5930.19580078125,0.003473886288702488,0.08798528462648392,0.29687875509262085,0.9993940601783603,0.9721215006665397,0.9243858312702342,0.6953719715902074,0.9079201538150881,0.5325686804318785,lle
47,5930.42626953125,0.005597300827503204,0.15345558524131775,0.4019460678100586,0.9993194118079554,0.740384688630737,0.7228623119405828,0.6176800794685618,0.5041400974301484,0.2791715887762468,lle
48,5929.91357421875,0.0018163835629820824,0.059759847819805145,0.20525777339935303,0.9992549425420958,0.9080099028756428,0.8149647686155018,0.28375856051760573,0.5191279553522571,0.5549494538143884,lle
49,5929.82275390625,0.0007778382860124111,0.023479454219341278,0.1096862405538559,0.9992667612377445,0.9501847267187202,0.9052123405065702,0.4689339361694101,0.6551747741434821,0.7354760314980666,lle
50,1512.0931396484375,2.54559563472867e-06,3.999809268862009e-05,0.000207224627956748,0.06573782890740716,0.9987507141496857,0.9990992191963436,0.9092615733600804,0.9615901790547423,0.9568795024158986,mds
51,4191.14794921875,2.4644075892865658e-05,0.0003397716209292412,0.0018363685812801123,0.4999320906640638,0.9911654922871834,0.9926680632260522,0.7030065735196707,0.8681758561206795,0.8970198483124144,mds
52,5740.80322265625,0.0014873268082737923,0.038751617074012756,0.14319303631782532,0.9168395214688789,0.8400380879832413,0.8918586935821748,0.332047410027405,0.42231363145555234,0.635834436661997,mds
53,3520.24365234375,9.168637916445732e-06,0.0001402352936565876,0.0005461260443553329,0.35228399153167567,0.9965758903066083,0.9977013902113883,0.8090443566114518,0.9390338168141097,0.9213607955035448,mds
54,5483.82958984375,0.00017832359299063683,0.005617688875645399,0.045535922050476074,0.8475968960689789,0.9466063606932013,0.9515235193296515,0.3660274761281291,0.7102803589496178,0.7925407935664324,mds
55,3968.642333984375,0.000634804368019104,0.007092999294400215,0.048554711043834686,0.425714111557299,0.9946295943629785,0.9960636069320129,0.8273166462939889,0.9642354033506442,0.7709483117158102,trimap
56,2781.978759765625,0.0010422470513731241,0.016353532671928406,0.09467816352844238,0.19952848423402758,0.9935650352313845,0.9935231384498191,0.8174985390704527,0.9375227649087398,0.7112048233820434,trimap
57,2979.56103515625,0.0007175063947215676,0.010089285671710968,0.06213691085577011,0.23200864794077627,0.9937192915635117,0.9928870691296896,0.8011005381111665,0.955662838858001,0.7200460412085343,trimap
58,3677.6728515625,0.0006173998117446899,0.006467840634286404,0.04623746871948242,0.3624004060166901,0.9947267187202438,0.996181679680061,0.8277655533511056,0.9620171249035007,0.7868553657868832,trimap
59,3338.041748046875,0.0005925013683736324,0.0065714651718735695,0.05063745379447937,0.2955530904908351,0.9942658541230242,0.9953913540278042,0.8178145168739026,0.9648823737748747,0.7541975184166239,trimap
60,3087.8212890625,0.0006675003096461296,0.008622949942946434,0.06352344900369644,0.24888812406812655,0.9939421062654732,0.9953989716244525,0.8148470092492814,0.9600423122158116,0.690532709964939,trimap
61,3962.431640625,0.0006239553913474083,0.006645802408456802,0.047245919704437256,0.42473587094346793,0.9947400495143782,0.9963340316130261,0.8261729194451324,0.963380019872543,0.762479583224189,trimap
62,3495.625732421875,0.00066954898647964,0.0071591343730688095,0.05079535394906998,0.3251575380418914,0.994231574938107,0.9949342982289088,0.8156681191220638,0.9594951909732389,0.7279254053728444,trimap
63,3397.899169921875,0.0006083127809688449,0.006955841556191444,0.04680285602807999,0.30588149422172634,0.9943896400685583,0.9957912778518377,0.8246281151251399,0.9613305023107277,0.7332414118448414,trimap
64,2570.845947265625,0.0010686066234484315,0.01361025869846344,0.06891010701656342,0.17280153961035027,0.9926832984193487,0.9911978670729384,0.7882374951905659,0.9327942591398731,0.6284396675202786,trimap
65,5870.818359375,0.002857513725757599,0.05015759915113449,0.20404934883117676,0.9732731457506505,0.7792287183393639,0.7437688059417253,0.07793189768506927,0.3204936529267981,0.40311223393616913,lda
66,5870.818359375,0.002857515588402748,0.05015759915113449,0.20404934883117676,0.973273145729824,0.7792287183393639,0.7437688059417253,0.07793189768506927,0.32540720676133095,0.39752725274737655,lda
67,5885.92578125,0.001842256635427475,0.04821861535310745,0.15479330718517303,0.9797133665659133,0.6509921919634356,0.6782422395734147,0.069278150581263,0.23342615800993938,0.24401577053183832,lda
68,5867.0859375,0.0031912866979837418,0.059944212436676025,0.14426995813846588,0.9715496310157296,0.7377356693963055,0.7163968767853742,0.04536550666634804,0.2678538335445587,0.28494805841904913,lda
69,5870.818359375,0.002857515588402748,0.05015759915113449,0.20404934883117676,0.973273145729824,0.7792287183393639,0.7437688059417253,0.07793189768506927,0.3225672369344186,0.41063124488019176,lda
